time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,wifi_freq,bit_rate,link_quality,link_quality_max,signal_level,gpu,gpu_mem,state,net
27-3-2022 18:35:51,1648420551.5889812,1500.0,30.7,7101.8,2250.92,714055.26,30.8,22035800,260975502,0.0,6.035719180722519e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:56,1648420556.5931177,1500.0,31.0,7107.11,2251.82,714069.06,30.8,22036082,260976716,5.635337814756106e-07,2.4259929457850757e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:1,1648420561.597106,1500.0,30.3,7112.28,2252.7,714082.94,32.9,22036124,260977206,8.393305053380348e-08,9.79218922894374e-07,73.523,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:6,1648420566.6009321,1500.0,29.3,7117.46,2253.59,714096.84,34.4,22036166,260977825,8.393576997582568e-08,1.2370533717865738e-06,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:11,1648420571.6049294,1500.0,30.5,7122.81,2254.43,714110.65,32.9,22036166,260978255,0.0,8.593130091709252e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:16,1648420576.608935,1500.0,30.9,7128.09,2255.34,714124.4,32.5,22036208,260978702,8.393275860417801e-08,8.932843594301803e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:21,1648420581.6130764,1500.0,30.7,7133.39,2256.27,714138.15,31.9,22036208,260979132,0.0,8.592882806094081e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:26,1648420586.6170638,1500.0,30.8,7138.62,2257.22,714151.94,31.5,22036250,260980162,8.393306653000604e-08,2.0583585363311005e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:31,1648420591.6210744,1500.0,31.0,7143.88,2258.18,714165.69,31.1,22036250,260980377,0.0,4.2965535819837506e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:36,1648420596.6251128,1500.0,30.5,7149.14,2259.08,714179.48,30.7,22036292,260980867,8.393221074173243e-08,9.792091253202117e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:41,1648420601.6291313,1500.0,30.8,7154.36,2260.06,714193.24,32.2,22036292,260981297,0.0,8.59309365303412e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:46,1648420606.6331475,1500.0,30.5,7159.6,2260.98,714207.02,30.8,22036334,260981572,8.39325826475764e-08,5.495585768591312e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:51,1648420611.637176,1500.0,30.9,7164.84,2261.96,714220.81,30.8,22036334,260982002,0.0,8.593076457362173e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:36:56,1648420616.6412065,1500.0,30.3,7170.22,2262.75,714234.61,30.8,22036616,260983216,5.635457296104877e-07,2.4260443820820284e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:1,1648420621.6453316,1500.0,30.7,7175.42,2263.72,714248.4,30.8,22037531,260983806,1.8284914513067955e-06,1.1790272746131251e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:6,1648420626.6490993,1500.0,30.4,7180.69,2264.65,714262.17,29.4,22037663,260984730,2.6380121371363084e-07,1.846608495995416e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:11,1648420631.6529374,1500.0,30.9,7186.0,2265.57,714275.95,30.8,22037663,260984945,0.0,4.2967017981745236e-07,73.523,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:16,1648420636.656924,1500.0,31.1,7191.15,2266.47,714289.79,32.8,22037705,260985607,8.393307852716195e-08,1.3229451901186002e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:21,1648420641.6609683,1500.0,30.3,7196.4,2267.31,714303.69,33.1,22037705,260986187,0.0,1.1590624820288346e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:26,1648420646.6649854,1500.0,30.4,7201.69,2268.18,714317.46,32.2,22037793,260987062,1.7585871107945547e-07,1.7485951385741312e-06,72.062,0,0,0,0,0,0,0,augmented_reality,
