,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
46,[13.369999885559082],[13.149894714355469],0.22010517120361328,0.22010517120361328,[3.390000104904175],[1.0240005254745483],2.3659995794296265,2.3659995794296265,[1.9900001287460327],[5.8148345947265625],3.82483446598053,3.82483446598053,[24.0],[20.179767608642578],3.820232391357422,3.820232391357422
47,[11.609999656677246],[11.952715873718262],0.3427162170410156,0.3427162170410156,[2.0299999713897705],[1.5498677492141724],0.48013222217559814,0.48013222217559814,[4.559999942779541],[6.9165263175964355],2.3565263748168945,2.3565263748168945,[25.100000381469727],[25.60442352294922],0.5044231414794922,0.5044231414794922
48,[8.3100004196167],[11.427250862121582],3.117250442504883,3.117250442504883,[2.490000009536743],[1.257015347480774],1.2329846620559692,1.2329846620559692,[2.0199999809265137],[7.39687967300415],5.376879692077637,5.376879692077637,[25.399999618530273],[23.107336044311523],2.29266357421875,2.29266357421875
49,[13.8100004196167],[12.112943649291992],1.697056770324707,1.697056770324707,[2.4000000953674316],[1.3642102479934692],1.0357898473739624,1.0357898473739624,[0.23999999463558197],[6.801753520965576],6.561753526329994,6.561753526329994,[26.299999237060547],[23.705238342285156],2.5947608947753906,2.5947608947753906
50,[13.350000381469727],[14.286227226257324],0.9362268447875977,0.9362268447875977,[2.3299999237060547],[1.3163796663284302],1.0136202573776245,1.0136202573776245,[0.41999998688697815],[4.542239189147949],4.122239202260971,4.122239202260971,[25.899999618530273],[23.605117797851562],2.294881820678711,2.294881820678711
51,[9.199999809265137],[14.236672401428223],5.036672592163086,5.036672592163086,[1.600000023841858],[1.296850323677063],0.3031497001647949,0.3031497001647949,[5.849999904632568],[4.711060523986816],1.138939380645752,1.138939380645752,[26.200000762939453],[23.40553855895996],2.794462203979492,2.794462203979492
52,[13.1899995803833],[9.289409637451172],3.900589942932129,3.900589942932129,[2.5],[1.245517373085022],1.254482626914978,1.254482626914978,[3.9200000762939453],[9.857100486755371],5.937100410461426,5.937100410461426,[27.0],[21.477954864501953],5.522045135498047,5.522045135498047
53,[7.140000343322754],[11.836201667785645],4.696201324462891,4.696201324462891,[1.5199999809265137],[1.405117154121399],0.11488282680511475,0.11488282680511475,[10.850000381469727],[6.948263168334961],3.9017372131347656,3.9017372131347656,[25.200000762939453],[24.644222259521484],0.5557785034179688,0.5557785034179688
54,[6.159999847412109],[8.791592597961426],2.6315927505493164,2.6315927505493164,[1.440000057220459],[1.1343519687652588],0.3056480884552002,0.3056480884552002,[12.279999732971191],[9.962799072265625],2.3172006607055664,2.3172006607055664,[24.700000762939453],[21.563432693481445],3.136568069458008,3.136568069458008
55,[6.010000228881836],[7.973172664642334],1.963172435760498,1.963172435760498,[1.6200000047683716],[1.113067388534546],0.5069326162338257,0.5069326162338257,[11.920000076293945],[10.743242263793945],1.1767578125,1.1767578125,[24.600000381469727],[21.325428009033203],3.2745723724365234,3.2745723724365234
56,[6.050000190734863],[7.18381929397583],1.1338191032409668,1.1338191032409668,[1.4700000286102295],[1.1635633707046509],0.3064366579055786,0.3064366579055786,[12.279999732971191],[11.653022766113281],0.6269769668579102,0.6269769668579102,[24.5],[21.79570960998535],2.7042903900146484,2.7042903900146484
57,[5.730000019073486],[7.100483417510986],1.3704833984375,1.3704833984375,[1.590000033378601],[1.099436640739441],0.49056339263916016,0.49056339263916016,[12.399999618530273],[11.695042610168457],0.7049570083618164,0.7049570083618164,[24.600000381469727],[20.932466506958008],3.6675338745117188,3.6675338745117188
58,[5.349999904632568],[7.159251689910889],1.8092517852783203,1.8092517852783203,[1.409999966621399],[1.1352461576461792],0.2747538089752197,0.2747538089752197,[13.279999732971191],[11.642740249633789],1.6372594833374023,1.6372594833374023,[24.600000381469727],[21.23630142211914],3.363698959350586,3.363698959350586
59,[5.179999351501465],[6.792933464050293],1.6129341125488281,1.6129341125488281,[1.4199999570846558],[1.0892131328582764],0.3307868242263794,0.3307868242263794,[13.180000305175781],[11.967024803161621],1.2129755020141602,1.2129755020141602,[24.5],[20.826980590820312],3.6730194091796875,3.6730194091796875
60,[5.28000020980835],[6.774481296539307],1.494481086730957,1.494481086730957,[1.2699999809265137],[1.0932587385177612],0.17674124240875244,0.17674124240875244,[13.15999984741211],[12.013419151306152],1.146580696105957,1.146580696105957,[24.5],[20.870935440063477],3.6290645599365234,3.6290645599365234
61,[5.150000095367432],[7.013397693634033],1.8633975982666016,1.8633975982666016,[1.1299999952316284],[1.0514817237854004],0.07851827144622803,0.07851827144622803,[13.140000343322754],[11.746156692504883],1.393843650817871,1.393843650817871,[24.399999618530273],[20.54215431213379],3.8578453063964844,3.8578453063964844
62,[4.880000114440918],[6.798725605010986],1.9187254905700684,1.9187254905700684,[0.9399999976158142],[1.01311194896698],0.07311195135116577,0.07311195135116577,[13.579999923706055],[11.962593078613281],1.6174068450927734,1.6174068450927734,[24.399999618530273],[20.20477867126465],4.195220947265625,4.195220947265625
63,[4.940000057220459],[6.616463661193848],1.6764636039733887,1.6764636039733887,[1.090000033378601],[0.9662686586380005],0.12373137474060059,0.12373137474060059,[13.470000267028809],[12.125486373901367],1.3445138931274414,1.3445138931274414,[24.399999618530273],[19.834978103637695],4.565021514892578,4.565021514892578
64,[5.300000190734863],[6.00399112701416],0.7039909362792969,0.7039909362792969,[1.0299999713897705],[1.0562824010849],0.026282429695129395,0.026282429695129395,[12.079999923706055],[13.06484603881836],0.9848461151123047,0.9848461151123047,[24.399999618530273],[19.26296615600586],5.137033462524414,5.137033462524414
65,[8.460000038146973],[7.269936561584473],1.1900634765625,1.1900634765625,[1.75],[0.988968014717102],0.761031985282898,0.761031985282898,[8.949999809265137],[11.524616241455078],2.5746164321899414,2.5746164321899414,[24.700000762939453],[20.0848445892334],4.615156173706055,4.615156173706055
66,[6.28000020980835],[10.059080123901367],3.7790799140930176,3.7790799140930176,[1.3799999952316284],[1.1686657667160034],0.211334228515625,0.211334228515625,[11.84000015258789],[8.72404670715332],3.1159534454345703,3.1159534454345703,[24.399999618530273],[21.93178939819336],2.468210220336914,2.468210220336914
67,[4.730000019073486],[7.357687473297119],2.627687454223633,2.627687454223633,[1.2000000476837158],[1.1112273931503296],0.08877265453338623,0.08877265453338623,[13.560001373291016],[11.361119270324707],2.1988821029663086,2.1988821029663086,[24.399999618530273],[21.422842025756836],2.9771575927734375,2.9771575927734375
68,[4.440000057220459],[6.249026775360107],1.8090267181396484,1.8090267181396484,[1.1200000047683716],[1.063062071800232],0.05693793296813965,0.05693793296813965,[13.399999618530273],[12.524256706237793],0.8757429122924805,0.8757429122924805,[24.5],[20.653825759887695],3.8461742401123047,3.8461742401123047
